latitude,longitude
76.8501056,23.0760729
76.8501271,23.0757892
76.8501646,23.0753746
76.8501754,23.0748811
76.8501754,23.0748441
76.850508,23.0747997
76.8508379,23.0747256
76.8511624,23.0746713
76.851385,23.0746689
76.8516318,23.0747182
76.8519107,23.0747552
76.852423,23.0748465
76.8525867,23.0748712
76.8528039,23.0748836
76.8530373,23.0749033
76.8535844,23.0749354
76.8539197,23.0749625
76.8544749,23.0750217
76.8547083,23.0750563
76.8548236,23.0750908
76.8549738,23.075192
76.8551589,23.0751846
76.8553037,23.0751155
76.8557302,23.0751328
76.8562801,23.0751032
76.8565751,23.0750538
76.8568433,23.0749749
76.8574602,23.0749502
76.8583024,23.0749527
76.8584768,23.0749403
76.8596623,23.074886
